id,title,author,cities
5952,"The American Credo","George Jean Nathan","21820,20681,21538,8334"
5953,"A Venetian June","Anna Fuller","15518,141,141,2870,15518,141,11898,11898,11898"
5954,"The Young Man's Guide","William A. Alcott","20430,20430"
5955,"The Story of the Great War, Volume V (of 12)",Unknown,"20976,20976,2516,2516,21071,21071,20430,21071,21071,21071"
5956,"The Professional Approach","Charles Leonard Harness","239,239"
5957,"No Man's Land","H. C. McNeile","8334,22455"
5958,"The Relief of Mafeking","Filson Young","23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,21651"
5959,"The History of 'Punch'","M. H. Spielmann","7647,7647,7647,2514,8334,2514,2514,2514,2514,7952,2514,2514"
5960,"The Fifth Ace","Douglas Grant","1601,21921,6060,21985"
5961,"Strange Stories from History for Young People","George Cary Eggleston","21853,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20669,20669,20669"
5962,"Carried Off","Esme Stuart","7401,23228,1169,23228,23228,23228,23228,23228,18527,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,18527,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,7401,23228,23228,23228"
5963,"The Melting-Pot","Israel Zangwill","2514,19983"
5964,"Billie Bradley at Three Towers Hall","Janet D. Wheeler",21921
5965,"Blue Bonnet in Boston","Caroline E. Jacobs",21921
5966,"Further Adventures of Lad","Albert Payson Terhune",20045
5967,"A Matter of Proportion","Anne Walker",20078
5968,"Kiddie the Scout","Robert Leighton","19986,20577,19986"
5969,"St. Nicholas Magazine for Boys and Girls, V. 5, April 1878",Various,18527
5970,"A Tame Surrender, A Story of The Chicago Strike","Charles King",21537
5971,Revolution,"Dallas McCord Reynolds",239
5972,"His Dog","Albert Payson Terhune",21921
5973,"Country Walks of a Naturalist with His Children","W. Houghton",21634
5974,"Lalage's Lovers","George A. Birmingham","20459,20459"
5975,"Chicken Little Jane","Lily Munsell Ritchie",2490
5976,"Anti-Slavery Opinions before the Year 1800","William Frederick Poole","20430,20430,20430,20430,20430,20321"
5977,"The Romance of Words (4th ed.)","Ernest  Weekley",8325
5978,"Fair Italy, the Riviera and Monte Carlo","W. Cope Devereux","11893,2576,11893,144,1571,144,11895,11895,1571,1571,1571,23650"
5979,"Chambers's Edinburgh Journal, No. 457",Various,2514
5980,"Story of My Life","Helen Keller","21921,21477,21477,21477,21477,21477,21726,2490,21921,19986,19986,21921"
5981,"The Book of Humorous Verse",Various,"8334,2523,236,236,21921,2576,21651,22967,21149,22888,21149"
5982,"The Renaissance","Walter Pater","6965,144,21651,144,11895,144,144,21650,2538,2538,2538,2538,2538,21651,6965"
5983,"Peter the Priest","M�r J�kai",239
5984,"Cast Away in the Cold","Isaac I. Hayes","21458,21458,21458,21458,21458,21458,21458,21458"
5985,"Imaginary Portraits","Walter Pater","14002,2538,1571,21651"
5986,"A Missionary Twig","Emma L. Burnett","21694,21694,21694"
5987,"Those Who Smiled","Perceval Gibbon","239,239,239,239,21726,239,239,239"
5988,"There was a King in Egypt","Norma Lorimer","2576,21884,65,2576,2576,2576"
5989,"The Land of the Kangaroo","Thomas Wallace Knox","23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,20976,239,239,21820,21820,21732,239,19983,519,239,21921,21921,20430,534"
5990,"Jewel Weed","Alice Ames Winter","21149,21149,20045,21149,20430,20045"
5991,"The World's Greatest Books, Volume 19",Various,"15879,15879,21666,1169,23613,1571,14489,1598,1598,253,1598,3850,1169,6464,2538,2538,23613,65,14002,14002,14002,420,21650,23568,8325,1598,1598,1598,15879"
5992,"O Pioneers!","Willa Cather","21519,239"
5993,"Stories From the Old Attic","Robert Harris","4045,22455,22345,22345"
5994,"The Physical Life of Woman:","Dr. George H Napheys",20410
5995,"Confessions of a Book-Lover","Maurice Francis Egan","2538,2538,19983,19983"
5996,"The Telegraph Boy","Horatio Alger, Jr.",15879
5997,"In Blue Creek Canon","Anna Chapin Ray",21190
5998,"Photographic Reproduction Processes","P.C. Duchochois",21969
5999,Romola,"George Eliot","11895,144,239,1571,2538,2538,2538,144,1571,144,21650,11895,2870,1571,11895"
6000,"A Christmas Carol","Charles Dickens","7952,7952"
6001,"History of the United States, Volume 6 (of 6)","E. Benjamin Andrews","2490,239,239,21921,21192,23248,15135,15135,20430,21921,20430,20430,20430,20430,239,239,239,239,239,239,239,239,21921,239,4079,4079,4079,4079,2490,21921,21921,21921,22455,21964,22455,6965,239,239,239,21726,20430,239,21726,20430,21726,20430,20357,20430,20357,22455,20357,21726,21359,21359,22376,20430,21192,20430,20000,239,8325,20430,23248,4079,4079,20430,239,1571,23068,4079,20000,1405,15135,15135,15135,20525,21993,15135,15135,15135,22376,20430,152,8325,21740,21149,20430,21921,2490,239"
6002,"Dave Porter in the Gold Fields","Edward Stratemeyer","20296,20296,20296,20296,20296,20296,20296,21552,21552"
6003,"John Eliot's First Indian Teacher and Interpreter Cockenoe-de-Long Island and The Story of His Career from the Early Records","William Wallace Tooker","21149,21044,21149,21149,21044,21044,21149,21044,21149,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21149,21044,21149,21044,21044"
6004,"Dead Giveaway","Gordon Randall Garrett","22455,22455"
6005,"A History of the United States","Cecil Chesterton","8325,21921,20430,20430,20430,20430,20000,20000,20000,20000,20000,20000,20000,20000,20000,14249,4045,20430,20373,21921,239,20430,20430,20430,21921,20430,20430,14249,20430,20430,20000,23568,15646,239,20078,20000"
6006,"A History of Nursery Rhymes","Percy B. Green","21147,23568"
6007,"Heroes in Peace","John Haynes Holmes","21921,22720"
6008,"The Girls at Mount Morris","Amanda Minnie Douglas",21936
6009,"Special Messenger","Robert W. Chambers",65
6010,Textiles,"William H. Dooley","20430,21426,21426,21458,21740,20430,21150,21921,21921,21921,21921"
6011,Bonaventure,"George Washington Cable","14010,20430,20430,20430,20430,21818,21818,21818,20430,20429,20430,20430,14010,20430,20430,20430,20430,2445,20429,20430,20430,20430,20430,20430,20430,2576,2576,20430"
6012,"Earl Hubert's Daughter","Emily Sarah Holt","420,420,420,21651,21651,2538,420,21651,21651"
6013,"Over the Rocky Mountains","R.M. Ballantyne","239,239,239,239,239,239,239"
6014,"The Root of Evil","Thomas Dixon","21969,21921"
6015,"En Route","J.-K. (Joris-Karl) Huysmans","2538,2538,2538,2538,2538,2538,2538,21650,2538,2538,20577,2538,20577,20577,20577,20577,20577,2538,20577,20577,2538,2538,2538,2538,2538,2538,2538,2538"
6016,Clotelle,"William Wells Brown","20430,20430,20430,20430,20410,20430,20430,20430,20430,20430,20430,21213,20430,20430,20410,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430"
6017,"Owen Clancy's Happy Trail","Burt L. Standish","22455,22455,22455,22455,4045,22455,4045,4045,142,4045,4045,4045,4045,4045,4045,4045,4045,4045,4045,22455,4045,4045,22455,22455,4045,142,4045,4045,142,22455,22455,22455,4045,22455,20708,19989,22120,20357,20357,239,565"
6018,"For the Master's Sake","Emily Sarah Holt","20891,21651,20891,21651,21651,21651,21651,21651,21651,20891,21651,20891,21651,21651"
6019,"The New World of Islam","Lothrop Stoddard","17292,5852,15135,11893,11893,11893,11893,11893,11893"
6020,"Make Mine Homogenized","Rick Raphael","22724,22724,22724,239,22728,22724,239,239,22724,22724,22724,239,239,239,22455,22724"
6021,"The Hour and the Man","Harriet Martineau","2538,13752,13752,13752,17292,13752,13752,13752"
6022,"Down the Rhine","Oliver Optic","6965,6965,505,2514"
6023,Tecumseh,"Ethel T. Raymond","21757,21363,21363,21363,20347,21363,21363"
6024,"Waring's Peril","Charles King","20430,20097,20097,20430,20430,20430,20430,20097,20430,20430,21852,20430"
6025,"The Mutiny of the Elsinore","Jack London","8334,239,20078,239,239,239,239,239,8334,239,239,20078,239,239,21969,21969,21969,21969,239,239,239,239,239,239,21921"
6026,"Customs and Fashions in Old New England","Alice Morse Earle","21149,21150,21150,474,21149,21149,21150,21150,21150"
6027,"The House of Pride","Jack London","239,21458,239,239,15656"
6028,"The Development of Embroidery in America","Candace Wheeler","21716,21716,20430,21921,20489,20489"
6029,"A Little Miss Nobody","Amy Bell Marlowe",21921
6030,"The Wedding Day",Unknown,21651
6031,"Conversion of a High Priest into a Christian Worker","Meletios Golden","20430,21921,239,239,239,239,239,239,239,20078,239,239,22455,22455"
6032,"Oldport Days","Thomas Wentworth Higginson","20430,20430,505"
6033,Lorraine,"Robert W. Chambers","65,21921"
6034,"Rollo in London","Jacob Abbott","2576,2576,2576,2576,2576,2576,2576,2576,2576,2576,2576,2576,2576,2576,2576"
6035,"The Strand Magazine, Volume V, Issue 30, June 1893",Various,"15135,7647,7647"
6036,"Life Immovable","Kostes Palamas","20078,22760"
6037,"No Compromise with Slavery","William Lloyd  Garrison",20430
6038,"History of the 159th Regiment, N.Y.S.V.","Edward Duffy","21969,20430,20410,20429,20430,20789,20430"
6039,"The Tinted Venus","F. Anstey","7952,2576"
6040,"A Spaceship Named McGuire","Gordon Randall Garrett",21921
6041,"Two Poems Against Pope","Leonard Welsted","22455,22455,22455"
6042,"My Antonia","Willa Cather","21192,21363,20357,20430,20357,20357,20357,20357,239,239,239,21921,239"
6043,"American Men of Mind","Burton E. Stevenson","21921,21921,21439,21969,21921,23061,21921,21921,20430,21921,21942,21921,21921,21921,21921,21770,21921,21921,20430,21921,20430,20430,20430,21921,21921,20430,20430,239,239,239,20224,21919,21921,20430,21921,21149,21149,21149,21149,21921,21857,21741,21921,21149,239,21921,22516,21921,21149,21921,21149,21921,21921,21921,21921,21921,22516,20357,20430,22746,21921,21921,2603,22467,22467,21149,21921,21921,21149,21921,21921,2603,22467,21552,21921,21921,21921,21921,21921,20321,21324,21921,21969,20489,21921,21921,21921,21969,21969,21921,21921,21921,21921,21921,21921,19983,21921,21149,21921,21921,21969"
6044,"One Man's Initiation--1917","John Dos Passos",20430
6045,"Lippincott's Magazine of Popular Literature and Science, Vol. 12, No. 32, November, 1873",Various,"21918,21918,21918,16714,21918,21918,21552,21552,22063,22063,21740,21740"
6046,"Breakfast Dainties","Thomas J. Murrey",21921
6047,"Punch, or the London Charivari, May 6, 1914",Various,"1405,7969,7969,7969"
6048,"The Royal Guide to Wax Flower Modelling","Emma Peachey",21884
6049,"The Tyranny of the Dark","Hamlin Garland","234,234,21921,21921,20373,20225"
6050,"The Story of Eclipses","George Chambers","236,6981,236"
6051,"Mary Ware's Promised Land","Annie Fellows Johnston","2870,22827,2870,22827,2870,2870,22827,22827,3857"
6052,"Time and Tide","Robert S. (Robert Stawell) Ball","1169,1169"
6053,"Black Bartlemy's Treasure","Jeffrey Farnol","19983,15645,15645,15645"
6054,"A Girl of the Commune","George Alfred Henty","20430,20430"
6055,"Greener Than You Think","Ward Moore","5972,22455,22455,22455,22455,22455,22455,22306,22302,22455,22455,22302,22455,22565,22455,22455,4045,22455,22455,4045,20603,4045,22565,4045,15646,239,20603,22455,22455,239,239,1601,22455,152,191,21185"
6056,"Gun for Hire","Dallas McCord Reynolds",22455
6057,"The Girl Scouts' Good Turn","Edith Lavell","21921,21921"
6058,"Left Behind","James Otis","21921,21726,21726,21820,21921,21921,21820,21820,21921,21820"
6059,"Four Young Explorers","Oliver Optic","15516,5459,1601,21936,21936,8334,21149"
6060,Folkways,"William Graham Sumner","20976,21147,21147,1169,1196,21147,21147,21147,21147,21694,14186,20891,239,14186,21147,1196"
6061,"History of the English People, Volume VI (of 8)","John Richard Green","1169,474,8325"
6062,"A Hundred Anecdotes of Animals","Percy J. Billinghurst",23613
6063,"The Desert Home","Mayne Reid","22720,22746,22720,22720,22746,22746,22746,22746,22720,22720,22720,22720,22720,2538,2538,22720"
6064,"Tom Gerrard","Louis Becke","239,239"
6065,"Children's Rhymes, Children's Games, Children's Songs, Children's Stories","Robert Ford",2514
6066,"The Creed of the Old South 1865-1915","Basil L. Gildersleeve","20430,20321,8325,20430"
6067,Attrition,"Jim Wannamaker",14249
6068,"Down The River","Oliver Optic","20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20410,20430,20430,20430,20430,20430,20430"
6069,"Days Off","Henry Van Dyke","21964,21740,21740,21969"
6070,"The Man from the Bitter Roots","Caroline Lockhart","8334,23650,15664"
6071,"Lost Face","Jack London","23459,239,239"
6072,"The River of Darkness","William Murray Graydon",5852
6073,Nestlings,"Ella Fraser  Weller",22455
6074,"The Cryptogram","William Murray Graydon","239,239"
6075,"The Camp in the Snow","William Murray Graydon",21921
6076,"The Philadelphia Magazines and their Contributors 1741-1850","Albert Smyth","22742,20772,21921,23080"
6077,"American Lutheranism","Friedrich Bente","21921,21363,20608,21363,21363,21363,21363,21192,21192,21192,21363,21363,21363,21363,21324,21324,0,0,0,0,0,0,0,0,0,0,0,0,0,21363,21363"
6078,"The Twenty-fifth Regiment Connecticut Volunteers in the War of the Rebellion","George P. Bissell","20430,20430,20410,20430,20410,20410,20410,20410,20430,20430,20430,20410,20430,20430,20430,20410,20410,20410,20410,20410,20410,20410,20410,20410,20410,20410,20410,20430,20429,20430,20430,20430,20429,20429,20410,20430,20430,20430,20430,20430,20410,20429,20430,20430,20430,20430,20430"
6079,"Is Shakespeare Dead?","Mark Twain","20430,239"
6080,"The Preacher and His Models","James Stalker",2576
6081,"Mystics and Saints of Islam","Claud Field",65
6082,"Roosevelt in the Bad Lands","Hermann Hagedorn","22151,21740,20357,21049,21740,21740,21740,1601,21740,22151,21921,1601,21921,22151"
6083,"Punch, or the London Charivari, May 13, 1914",Various,7952
6084,"Tea Leaves",Various,"21150,21993,21458,21458,21458,21121"
6085,"Chatterbox, 1906",Various,"23650,474,1598,20976,21884,23650,23650,23568,236"
6086,"The Basis of Early Christian Theism","Lawrence Thomas Cole",21519
6087,"St. Winifred's","Frederic W. Farrar","22760,22760"
6088,"The Life of Mrs. Robert Louis Stevenson","Nellie Van de Grift Sanchez","15646,239,15646,8325,23459,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,20078,239,239,239,239,239,239,239,239,239,239,20078,21921,239,239,239,239,239,239,239,239,239,22419,4045,4045,239,15646,239,239,239,239,15646,239,15646,14249,15646,15646,239,223,14249,239,15646,239,20155,20155,15646,239"
6089,"Margaret Tudor","Annie T. Colcock","15645,15645,4079,15645,15645,1571,236,236,236,15645,236,15645"
6090,"Capitola's Peril","Mrs. E.D.E.N. Southworth","20430,20430,1405,1405,20430,20430,20430,20430,20430,20430,20430,20430,20430,1601,1601,20430"
6091,"The Common Sense of Socialism","John Spargo","239,21921,21921,21921,21921"
6092,"Reminiscences of a Rebel","Wayland Fuller Dunaway","22942,22942,22376,22159,22159,22159,22159,20564"
6093,"The Story of the Outlaw","Emerson Hough","22728,22715,22728,20353,21194,20430,20430,20430,20430,20430,20430,20430,20430,239,239,20430,20430,239,20430,239,239,15664,239,239,239,239,22977,22888,22888,239,22888,20357,21194,1601,1601,22728,21537,22720,21537,21921,22720,22728,22728,22728,1601,1601,1601,2870,20430,1601,2870,2870,2870,2870,2870,2870,22720,20982,2870,2870,21324,21190,22151,19986,19985,19985,22720,22720,20756,20746,22888,22746,21324,22728,22720,22728,20556,20357"
6094,"A Boy's Voyage Round the World","The Son of Samuel Smiles","2870,239,239,239,239,239,239,239,239,20078,239,239,20078,239,239,239,239,20078,239,239,239,239,239,239,21190,21190,239,239,21049,21190,239,21380,2490,2870,239,22888"
6095,"Land of the Burnt Thigh","Edith Eudora Kohl","20540,20540,20540,23459,20357,20540,23459,20540,20540,23459"
6096,"Historic Boyhoods","Rupert Sargent Holland","20321,20321,20321,20321,20321,20321,20430,21149,21149,21921,21969"
6097,"Sixty years with Plymouth Church","Stephen M. Griswold","239,2514,21921,21833"
6098,"Punch, or the London Charivari, Vol. 146, March 25, 1914",Various,"20976,191"
6099,"The Return of Peter Grimm","David Belasco","21921,21921,21921,21921"
6100,"The Life of Napoleon Bonaparte","William Milligan Sloane","11895,15666"
6101,"Teddy: Her Book","Anna Chapin Ray",21149
6102,"The History of Tasmania, Volume I (of 2)","John West","1197,505,13372,13372,13372,13372,13372,13372"
6103,"The Voyage of the Vega round Asia and Europe, Volume I and Volume II","A.E. Nordenskieold","14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,21458,239,21458,239,239,21152,21006,21006,239,239,239,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,8334,5852,8334,8334,8334,8334,8334,14653,14653,8334,14653"
6104,"A Disquisition on the Evils of Using Tobacco","Orin Fowler",21426
6105,Mercenary,"Dallas McCord Reynolds",21921
6106,"The Romance of Names","Ernest Weekley","6965,20430,239"
6107,Wizard,"Laurence Mark Janifer (AKA Larry M. Harris)",22743
6108,"Floyd Grandon's Honor","Amanda Minnie Douglas","21732,239"
6109,"Lights and Shadows in Confederate Prisons","Homer B. Sprague","20357,21149"
6110,"The Community Cook Book",Anonymous,"20430,20430,20430,20430,20430"
6111,"The History of England from the Accession of James II.","Thomas Babington Macaulay","2516,2538,21651,22760,22760,20525,21651,2516,20430,21651,7518,7518,1762,2516,2516,2516,2516,2516,2516,21651,2516"
6112,"Short Sketches from Oldest America","John Driggs","239,239"
6113,Gossamer,"George A. Birmingham","191,2538"
6114,"A Study In Scarlet","Arthur Conan Doyle","20430,1601,22888,22888,22888,22888,22888,22888,22888,22888"
6115,"The Adventures of the Chevalier De La Salle and His Companions, in Their Explorations of the Prairies, Forests, Lakes, and Rivers, of the New World, and Their Interviews with the Savage Tribe","John S. C. Abbott","22171,22171,22171,22171,22171,21192,22171,22171,22171,22171,22171,22171,22171,22171,2490,22171,20430,22171,22171,22171,22171,22171,22171,22171,21192,22171,22171,22171,22171,1601"
6116,"Catalogue of Economic Plants in the Collection of the U. S. Department of Agriculture","William Saunders","1571,1598,1598,1598"
6117,"Poems: New and Old","Henry Newbolt","16720,16720"
6118,"Our Common Insects","Alpheus Spring  Packard","20430,20097,21740,21921,21740,21740,21740"
6119,"The Burgess Animal Book for Children","Thornton W. Burgess",23279
6120,"Life and Work in Benares and Kumaon, 1839-1877","James Kennedy",23613
6121,"The Forest King","Hervey Keyes",2490
6122,"Fifty years with the Revere Copper Co.","S. T. Snow","21359,21439,21426,21439"
6123,"Princess Zara","Ross Beeckman","21921,239,20078"
6124,"Our Fathers Have Told Us","John Ruskin",22827
6125,"The Story of the Mormons","William Alexander Linn","22888,22888,22888,21921,3857,21921,22888,21919,21921,21921,22888,21190,22888,22888,22888,22888,21921,22888,22888,22888,22888,20556,22888,22720,22888,22888,22888,22888,22888,21192,21149,22681,20000,20430,22888,15879,22888,22888,22888,22888,22177,22888,22888,22888,22888,2870,20430,22888,22888,22720,22720,21190,21921,22720,4045,22455,21190,22720,22808,22888,22389,21672,21190,21190,21921,21190,239,21190,22389,21190,15879,22888,22942,21190,21190,22888,22389,22720,21190,22720,22888,22888,21190,22888,22888,22888,22888,22888,21196,21196,21196,22888,22888,22888,19983,22888,239,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,239,22888,22888,22888,22888,22888,22888,22888,22888,19986,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,22888,20357,22888,22888,22888,22888,22888,22888,22888,22888,22565,22888,22888,22888,22888,22888,22888,22888,22888,22888,239,22565,22888,22888,22888,22888,22888,22888,239,2245"
6126,"The Wit and Humor of America, Volume VIII (of X)",Various,"20430,20045,2490,20908,21820,21820,20908,20908,22171,20489"
6127,"The Wit and Humor of America, Volume X (of X)",Various,"21968,239,19986,239,15664,239,14581,1601,1601,20430,1601,20891"
6128,"Four Americans","Henry A. Beers","21149,21149"
6129,"Anything You Can Do ...","Gordon Randall Garrett",21537
6130,"The Last Penny and Other Stories","T. S. Arthur",20430
6131,"From Fort Henry to Corinth","Manning Ferguson Force","20556,20541,20556,20556,20556,20541,20541,20373,20373,20373,20373,20373,20373,20373,20373,20373,20373,20373,20301,21757,21757,21757,20430,20430,22191,21757,22191,22191,20373,22191,20373,20430,22191,22191,22191,22191,22191,22191,22191,22191,22191,22191,22191,22191,22191,20541,20541,20556,20373,20430,22191,20373,20373,20301"
6132,"Report on the Department of Ports and Harbours for the Year 1890-1891","Department of Ports and Harbours",20258
6133,"Out Like a Light","Gordon Randall Garrett","21921,21726,21921"
6134,"John Corwell, Sailor And Miner; and, Poisonous Fish","Louis Becke",1169
6135,Bones,"Edgar Wallace",23459
6136,"The Blue Wall","Richard Washburn Child",474
6137,Nights,"Elizabeth Robins Pennell","239,21820,21820"
6138,"Punch, or the London Charivari, Vol. 146, June 17, 1914",Various,14824
6139,"Across the Spanish Main","Harry Collingwood","1405,1405,236,236,236,152,1405,1405,1405,1405,1405,1405,1405"
6140,"Fathers of Biology","Charles McRae","15879,15879"
6141,"France and England in North America, Part VII: A Half-Century of Conflict, Vol 1","Francis Parkman","21006,23459,23459,23459,22171,21740,21359,21149,21359,21150,2515,21740,20430,21006,22171,1405,1405,20430,20430,22171,22171,20430,22171,22171,1601,22171,22720,22720,22720"
6142,"Still Jim","Honore Willsie Morrow","21921,21820,21820,21820,21820,21820,20645,20645,21205,236,22455,21820,239,14249,14249,4045,14249,21820"
6143,"The Supplies for the Confederate Army","Caleb Huse","20430,2576"
6144,"Eminent Victorians","Lytton Strachey","2514,18248,18248,18248,18248,18248,18248"
6145,"Tobacco; Its History, Varieties, Culture, Manufacture and Commerce","E. R. Billings","1405,18527,20430,20634,14002,18445,20342,8325,236,4036,20430,1601,1405,1405,1598,4045,4045,22108"
6146,"The Heroic Women of Early Indiana Methodism: An Address Delivered Before the Indiana Methodist Historical Society","Thomas Aiken Goodwin",21363
6147,"The Journal of Negro History, Volume 7, 1922",Various,"21740,21149,21921,21921,21757,21757,420,420,21921,21921,4079,21921,20430,21071,20430,21921,21740,21740,21006,20430,20430,20430,20430,20430,20430,20430,20430,21921,21538,21458,2870,20430,14004,19989,4079,21921,152,152,4079,4079"
6148,"The Common Law","Oliver Wendell Holmes, Jr.","8334,21740,21740"
6149,"The Continental Monthly, Vol. 6, No. 6, December 1864",Various,"239,20430,20430,20430,1601,1601,20430"
6150,"The Spirit of Lafayette","James Mott  Hallowell","21921,20475,21716,20267,15135"
6151,"The Golden Judge","Nathaniel Gordon","9788,15135"
6152,"Memoirs of the Life of Sir Walter Scott, Volume I (of 10)","John Gibson Lockhart",7738
6153,"Memoirs of the Life of Sir Walter Scott, Volume V (of 10)","John Gibson Lockhart","20184,16720"
6154,"The Green Carnation","Robert Smythe Hichens",2576
6155,"Life On The Mississippi, Complete","Mark Twain (Samuel Clemens)","20430,20430,20410,20430,22171,169,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20410,20410,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,239,20541,20541,20261,20541,20430,20541,20430,20430,20430,20430,19986,20430,20430,20430,20430,20430,20430,20430,20430,20410,22177,20430,20430,20430,20430,20410,20430,239,20078,20430,20430,20430,20410,20430,2576,2576,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20410,20430,2576,20430,20430,20410,20430,20430,23459,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20267,20430,20430,20430,21324,20430,22177,21324,21324,21324,21192,22177,22177,20321,20321,21643,20410,20430,20430,20430,20430,20430,20430,20430,20430,20430,23459,20430"
6156,"The Boy Slaves","Mayne Reid","22760,21651,1169,1169,1169,1169"
6157,"The Greville Memoirs (Second Part)","Charles C. F. Greville","2516,15879,2514,2514,2516,2514,2514,2514,2514,2516,2514,2514,2514,2516,2514,2514,2514,2516,2514,2514,2514,2516,2514,2514,2514,2514,8334,2514,2514,2516,2514,2516,2514,2516,2516,2514,2514,2514,2514,2516,8334,2514,2514,2514,2514,2514,2516,2516"
6158,"The Forest of Dean","H. G. Nicholls","20626,20534,20534,20534"
6159,"Essays on early ornithology and kindred subjects","James R. McClymont","141,23527,23527"
6160,"The Crystal Hunters","George Manville Fenn","21651,21651"
6161,"Memoirs of Extraordinary Popular Delusions and the Madness of Crowds","Charles Mackay","20430,1169,7341,2515,2515"
6162,"The Story of Rouen","Sir Theodore Andrea Cook","6967,6965,6965,6965,6965,6965,6981"
6163,Shavings,"Joseph C. Lincoln","21426,21149"
6164,"Harbor Tales Down North","Norman Duncan",21921
6165,"The Black Phantom","Leo Edward Miller",21849
6166,"Fragments of science, V. 1-2","John Tyndall","1405,2490,2490,23650,2490,2490,2490,14374"
6167,Beyond,"John Galsworthy",2576
6168,"The Continental Monthly, Vol. 2 No 4, October, 1862",Various,"1571,1571,7952,20347,20347"
6169,"Journeys Through Bookland, Vol. 8","Charles H. Sylvester","1571,1571,1571,22760,2907,2870,15516,1571,15516,15516,15516,15516,1405,20430,2870,15516,15516,15516,15516,22171,2870,2870,15516,15516,15516,3857,15516,22720,22720,22720,8325,8325,15135,8325,8325,8325,8325,8325,20373,8325,8325,1169"
6170,"The Autobiography of St. Ignatius","Saint Ignatius Loyola","20430,20357,21921"
6171,"The Path to Honour","Sydney C. Grier","2514,2514"
6172,"History of the Confederate Powder Works","Geo. W. Rains","20430,20430,20430,20430,20430,7341,20646"
6173,1914,"John French, Viscount of Ypres","2514,6965,2514,6965"
6174,"Kinston, Whitehall and Goldsboro (North Carolina) expedition, December, 1862","W. W. Howe","21048,1405,21048,1405"
6175,"The Silent Bullet","Arthur B. Reeve","21896,21993,20681,20681,21921,20430,20430"
6176,"Country Neighbors","Alice Brown",20045
6177,"Between the Lines","Henry Bascom Smith","2490,20097,21921,21048,21048,21048,21048,21048,21048,21048,21048,20373,22840,21921,20430,21921,20430,21921"
6178,"Fifty Salads","Thomas Jefferson Murrey",21921
6179,"In the Wilds of Florida","W.H.G. Kingston","2538,20097,20097,20071,2538,2538,2538,2538,2538,20523,20523,20523"
6180,"The Rise of Canada, from Barbarism to Wealth and Civilisation","Charles Roger","2438,20430,22171,21359,21359,20430,2438,2438,2438,21740,20783,2438,22824,21740,2438,2438,2438,2438,2438,2438,21740,20430,20430,20430,2438,2438,20430,20430,21740,20430,20430,21049,21740,2438,2438,21359,21359,21359,21359,21359,21359,20430,22824,21149,20430,2438"
6181,"Northern Nut Growers Association, Report of the Proceedings at the Fourth Annual Meeting",Various,"21921,22068,21921,20772,22858,15664,21521,21521,2490,21921,22120,22579,15646,20607,21921"
6182,"Down South","Oliver Optic","20523,3857"
6183,"The Boat Club","Oliver Optic","239,239"
6184,"Northern Nut Growers Association Report of the Proceedings at the Fifth Annual Meeting",Various,"22120,22120,21921,21921,2490,21388,20347,21521,21921,21150,21921,22120,21149,20665,21149"
6185,"A Report of the Debates and Proceedings in the Secret Sessions of the Conference Convention","Lucius Eugene Chittenden","21149,20430,21149,20430,20430"
6186,"The Panjab, North-West Frontier Province, and Kashmir","Sir James McCrone Douie","16274,16274,16274,16274,16274,16274,16274,16274,16274,16274,22827,9788,16274,16035,16274,16274,16274,16274,16274,16274,16274,16274,16274,14614"
6187,"The Best of the World's Classics, Restricted to Prose, Vol. VII (of X)--Continental Europe I",Various,20517
6188,"A Manual of the Operations of Surgery","Joseph Bell","20430,20000"
6189,"Two Gallant Sons of Devon","Harry Collingwood","22760,22760,5459,5459,5459,5459,5459,5459,15645,3850"
6190,"Stories By English Authors: Italy",Various,"1571,1571"
6191,"Loss and Gain","John Henry Newman",2576
6192,"The Hindered Hand","Sutton E. Griggs",2576
6193,"Mary Louise Solves a Mystery","L. Frank Baum",21921
