id,title,author
5730,"Posthumous Works","Mary Wollstonecraft"
5731,"Notes and Queries, Number 197, August 6, 1853",Various
5732,"Blackwood's Edinburgh Magazine, No. CCCXXXVI. October, 1843. Vol. LIV.",Various
5733,"Laramie Holds the Range","Frank H. Spearman"
5734,"The Dude Wrangler","Caroline Lockhart"
5735,"Mistress Anne","Temple Bailey"
5736,"The Skeleton On Round Island","Mary Hartwell Catherwood"
5737,"The Mothers Of Honore","Mary Hartwell Catherwood"
5738,"The King Of Beaver, and Beaver Lights","Mary Hartwell Catherwood"
5739,"Journal of Jasper Danckaerts, 1679-1680","Jasper Danckaerts"
5740,Oowikapun,"Egerton Ryerson Young"
5741,"The Settlers at Home","Harriet Martineau"
5742,"The Scalp Hunters","Mayne Reid"
5743,"On the Indian Trail","Egerton Ryerson Young"
5744,"Sunk at Sea","R.M. Ballantyne"
5745,"John Deane of Nottingham","W.H.G. Kingston"
5746,"The Peasant and the Prince","Harriet Martineau"
5747,"The White Rose of Langley","Emily Sarah Holt"
5748,"The Shirley Letters from California Mines in 1851-52","Louise Amelia Knapp Smith Clappe"
5749,"Impressions of America","Tyrone Power"
5750,"The Rover Boys Under Canvas","Arthur M. Winfield"
5751,Lavengro,"George Borrow"
5752,"Autobiography of a Pocket-Hankerchief","James Fenimore Cooper"
5753,"Ted and the Telephone","Sara Ware Bassett"
5754,"Primitive Psycho-Therapy and Quackery","Robert Means Lawrence"
5755,"Grace Darling","Eva Hope"
5756,Stradella,"F(rancis) Marion Crawford"
5757,"Sister Carrie","Theodore Dreiser"
5758,"The Lady Doc","Caroline Lockhart"
5759,"History of Phoenicia","George Rawlinson"
5760,"The Education of American Girls","Anna Callender Brackett"
5761,"History of the English People","John Richard Green"
5762,"The Deaf","Harry Best"
5763,"The Choctaw Freedmen","Robert Elliott Flickinger"
5764,"Tight Squeeze","Dean Charles Ing"
5765,"The Works of Rudyard Kipling: One Volume Edition","Rudyard Kipling"
5766,"Campaigns of a Non-Combatant,","George Alfred Townsend"
5767,"Lines in Pleasant Places","William Senior"
5768,"Comical People",Unknown
5769,"Vegetable Teratology","Maxwell T. Masters"
5770,"Miss Mehetabel's Son","Thomas Bailey Aldrich"
5771,"A Rivermouth Romance","Thomas Bailey Aldrich"
5772,"Our New Neighbors At Ponkapog","Thomas Bailey Aldrich"
5773,"Pere Antoine's Date-Palm","Thomas Bailey Aldrich"
5774,"Blown to Bits","R.M. Ballantyne"
5775,"The Eagle Cliff","R.M. Ballantyne"
5776,"Jack at Sea","George Manville Fenn"
5777,"The Lively Poll","R.M. Ballantyne"
5778,"Fighting the Flames","R.M. Ballantyne"
5779,"The Thorogood Family","R.M. Ballantyne"
5780,"Crown and Sceptre","George Manville Fenn"
5781,"Gascoyne, the Sandal-Wood Trader","R.M. Ballantyne"
5782,"Saved by the Lifeboat","R.M. Ballantyne"
5783,"Washed Ashore","W.H.G. Kingston"
5784,"Handbook to the new Gold-fields","R. M. Ballantyne"
5785,"Sally of Missouri","R. E. Young"
5786,"Look! We Have Come Through!","D. H. Lawrence"
5787,"Notes and Queries, Number 75, April 5, 1851",Various
5788,"Journeys Through Bookland, Vol. 7","Charles H. Sylvester"
5789,Acadia,"Frederic S. Cozzens"
5790,"The Mission Of Mr. Eustace Greyne","Robert Hichens"
5791,"Desert Air","Robert Hichens"
5792,"The Conquest of Bread","Peter Kropotkin"
5793,"The Adventure of Wisteria Lodge","Arthur Conan Doyle"
5794,"Masterpieces of Mystery In Four Volumes",Various
5795,"Farm drainage","Henry Flagg French"
5796,"The Adventure of the Cardboard Box","Arthur Conan Doyle"
5797,"Edward Barry","Louis Becke"
5798,"Lady Betty Across the Water",Unknown
5799,"The Best Short Stories of 1919",Various
5800,"Uncle Sam's Boys in the Philippines","H. Irving Hancock"
5801,"Behind the Beyond","Stephen Leacock"
5802,"Little Journeys to the Homes of the Great, Vol. 13","Elbert Hubbard"
5803,"The Adventure of the Bruce-Partington Plans","Arthur Conan Doyle"
5804,"A Life of William Shakespeare","Sidney Lee"
5805,"Bartholomew de Las Casas; his life, apostolate, and writings","Francis Augustus MacNutt"
5806,"A History of the Four Georges, Volume I (of 4)","Justin McCarthy"
5807,"A History of the Four Georges, Volume II (of 4)","Justin McCarthy"
5808,"A History of the Four Georges and of William IV, Volume III (of 4)","Justin McCarthy and Justin Huntly McCarthy"
5809,"A History of the Four Georges and of William IV, Volume IV (of 4)","Justin McCarthy and Justin Huntly McCarthy"
5810,"Lectures on Land Warfare; A tactical Manual for the Use of Infantry Officers",Anonymous
5811,"The Works of Lord Byron","Lord Byron"
5812,"The Perfect Gentleman","Ralph Bergengren"
5813,"Tonio, Son of the Sierras","Charles King"
5814,"Godfrey Morgan","Jules Verne"
5815,"Pickwickian Studies","Percy Fitzgerald"
5816,"The Castaways","Harry Collingwood"
5817,"Notable Voyagers","W.H.G. Kingston and Henry Frith"
5818,"How Britannia Came to Rule the Waves","W.H.G. Kingston"
5819,"The Hunters' Feast","Mayne Reid"
5820,"William Gibson Interviewed","Giuseppe Salza"
5821,"The Car of Destiny","C. N. Williamson and A. M. Williamson"
5822,"A Pair of Clogs","Amy Walton"
5823,"In the Wilds of Africa","W.H.G. Kingston"
5824,"The Story of Nelson","W.H.G. Kingston"
5825,"Freaks on the Fells","R.M. Ballantyne"
5826,Chance,"Joseph Conrad"
5827,"A Short History of Pittsburgh","Samuel Harden Church"
5828,"Bred In The Bone","Thomas Nelson Page"
5829,"Punch, or the London Charivari, Vol. 158, May 5, 1920",Various
5830,"The Mormon Menace","John Doyle Lee"
5831,"Blackwood's Edinburgh Magazine - Volume 55, No. 344, June, 1844",Various
5832,"Adventures in Many Lands",Various
5833,"Marjorie's Busy Days","Carolyn Wells"
5834,"...Or Your Money Back","Gordon Randall Garrett"
5835,"The Continental Monthly, Vol. 6, No 4, October, 1864",Various
5836,"'Where Angels Fear to Tread' and Other Stories of the Sea","Morgan Robertson"
5837,"Dick, Marjorie and Fidge","G. E. Farrow"
5838,"Side Show Studies","Francis Metcalfe"
5839,Glaucoma,Various
5840,"Wealth of the World's Waste Places and Oceania","Jewett Castello Gilson"
5841,"Sam Lambert and the New Way Store",Unknown
5842,"The Phantom Of Bogue Holauba","Charles Egbert Craddock    (AKA Mary Noailles Murfree)"
5843,"The Samuel Butler Collection","Henry Festing Jones"
5844,"Carl and the Cotton Gin","Sara Ware Bassett"
5845,Anchorite,"Randall Garrett"
5846,"Studies in Central American Picture-Writing","Edward S. Holden"
5847,Rookwood,"William Harrison Ainsworth"
5848,"Red-Tape and Pigeon-Hole Generals","William H. Armstrong"
5849,"The Mississippi Saucer","Frank Belknap Long"
5850,"Blackwood's Edinburgh Magazine, Volume 61, No. 379, May, 1847",Various
5851,"Socialism: Positive and Negative","Robert Rives La Monte"
5852,"Quadrupeds, What They Are and Where Found","Mayne Reid"
5853,"Taking Tales","W.H.G. Kingston"
5854,"The After House","Mary Roberts Rinehart"
5855,"Opportunities in Aviation","Arthur Sweetser"
5856,"Forty Years a Gambler on the Mississippi","George H. Devol"
5857,"Lectures on Architecture and Painting","John Ruskin"
5858,"Little Journeys to the Homes of the Great, Volume 11 (of 14)","Elbert Hubbard"
5859,"The Big Fix","George Oliver Smith"
5860,"The U-boat hunters","James B. Connolly"
5861,"The Music Master","Charles Klein"
5862,"Nights in London","Thomas Burke"
5863,"The Man Next Door","Emerson Hough"
5864,"A Circuit Rider's Wife","Corra Harris"
5865,"Why go to College? an Address","Alice Freeman Palmer"
5866,"Las Casas","Alice J. Knight"
5867,"The Story of Wellesley","Florence Converse"
5868,"The White Lady of Hazelwood","Emily Sarah Holt"
5869,"Ride Proud, Rebel!","Andre Alice Norton"
5870,"Messenger No. 48","James Otis"
5871,"Italian Popular Tales","Thomas Frederick Crane"
5872,Wampum,"Ashbel Woodward"
5873,"The Bishop of Cottontown","John Trotwood Moore"
5874,"Reminiscences of a South African Pioneer","W. C. Scully"
5875,"Little Journeys to the Homes of the Great Philosophers, Volume 8","Elbert  Hubbard"
5876,"History of the English People, Volume V (of 8)","John Richard Green"
5877,"Marjorie Dean High School Freshman","Pauline Lester"
5878,"The Motor Maids at Sunrise Camp","Katherine Stokes"
5879,"Gaspar the Gaucho","Mayne Reid"
5880,"The Princess of Montpensier","Madame de La Fayette"
5881,"Ten Boys from History","Kate Dickinson Sweetser"
5882,"How It All Came Round","L. T. Meade"
5883,"Northern Nut Growers Association, Report of the Proceedings at the Third Annual Meeting","Northern Nut Growers Association"
5884,"That Sweet Little Old Lady","Gordon Randall Garrett     (AKA Mark Phillips)"
5885,"The Problems of Psychical Research","Hereward Carrington"
5886,"Flamsted quarries","Mary E. Waller"
5887,"Woodland Tales","Ernest Seton-Thompson"
5888,"The St. Gregory Hymnal and Catholic Choir Book",Various
5889,"Swept Out to Sea","W. Bertram Foster"
5890,"The Moving Picture Boys on the Coast","Victor Appleton"
5891,"Tales of Fantasy and Fact","Brander Matthews"
5892,"The Continental Monthly, Vol 6, No 5, November 1864",Various
5893,"One of Ours","Willa Cather"
5894,"Blackwood's Edinburgh Magazine, Volume 61, No. 378, April, 1847",Various
5895,"Archeological Expedition to Arizona in 1895","Jesse Walter Fewkes"
5896,"South Africa and the Transvaal War, Vol. 1 (of 6)","Louis Creswicke"
5897,"The Decameron of Giovanni Boccaccio","Giovanni Boccaccio"
5898,"The Filigree Ball","Anna Katherine Green"
5899,"Walter and the Wireless","Sara Ware Bassett"
5900,"The Promise","James B. Hendryx"
5901,"Incidents of the War: Humorous, Pathetic, and Descriptive","Alf Burnett"
5902,"The Idler Magazine, Vol III. May 1893",Various
5903,"The Dew of Their Youth","S. R. Crockett"
5904,"David Malcolm","Nelson Lloyd"
5905,"The Atlantic Monthly, Volume 18, No. 107, September, 1866",Various
5906,"Ahead of the Army","W. O. Stoddard"
5907,"Aladdin & Co.","Herbert Quick"
5908,"Punch, or the London Charivari, Vol. 150, April 12, 1916",Various
5909,"Destruction and Reconstruction:","Richard Taylor"
5910,"History of the United States, Volume 3 (of 6)","E. Benjamin Andrews"
5911,"The Woman Beautiful","Helen Follett Stevans"
5912,"Southern Stories",Various
5913,"The Flaw in the Sapphire","Charles M. Snyder"
5914,"The Building of a Book",Various
5915,"Men of Affairs","Roland Pertwee"
5916,"Work and Win","Oliver Optic"
5917,"Up From Slavery: An Autobiography","Booker T. Washington"
5918,"Punch, or the London Charivari, Vol. 146, February 25, 1914",Various
5919,"Little Journeys to the Homes of the Great, Volume 7","Elbert  Hubbard"
5920,"Blessed Are the Meek","G.C. Edmondson"
5921,"Fred Fenton on the Track","Allen Chapman"
5922,"Out in the Forty-Five","Emily Sarah Holt"
5923,"The Squirrel-Cage","Dorothy Canfield"
5924,"The Son of the Wolf","Jack London"
5925,"The Hoosier School-boy","Edward Eggleston"
5926,"Devotions Upon Emergent Occasions","John Donne"
5927,"The Coming Wave","Oliver Optic"
5928,"A Little Girl in Old New York","Amanda Millie Douglas"
5929,"A Little Girl of Long Ago","Amanda Millie Douglas"
5930,"The Lilac Lady","Ruth Alberta Brown"
5931,"The History of Sir Richard Calmady","Lucas Malet"
5932,"A Little Girl in Old Boston","Amanda Millie Douglas"
5933,"Daniel Boone","John S. C. Abbott"
5934,"Contemporary American Composers","Rupert Hughes"
5935,"The Arena",Various
5936,"A Border Ruffian","Thomas A. Janvier"
5937,"For The Honor Of France","Thomas A. Janvier"
5938,"A Temporary Dead-Lock","Thomas A. Janvier"
5939,"Actions and Reactions","Rudyard Kipling"
5940,"At Fault","Kate Chopin"
5941,"La Chanson de Roland","L�on Gautier"
5942,"Memoir of the Proposed Territory of Arizona","Sylvester Mowry"
5943,"The Life Radiant","Lilian Whiting"
5944,"Yorke The Adventurer","Louis Becke"
5945,"Under the Rebel's Reign","Charles Neufeld"
5946,"The French Prisoners of Norman Cross","Arthur Brown"
5947,"The Flag Replaced on Sumter","William A. Spicer"
5948,Gala-days,"Gail Hamilton"
5949,"Canadian Postal Guide",Various
5950,"The Heart of Arethusa","Francis Barton Fox"
5951,"The New York and Albany Post Road","Charles Gilbert Hine"
5952,"The American Credo","George Jean Nathan"
5953,"A Venetian June","Anna Fuller"
5954,"The Young Man's Guide","William A. Alcott"
5955,"The Story of the Great War, Volume V (of 12)",Unknown
5956,"The Professional Approach","Charles Leonard Harness"
5957,"No Man's Land","H. C. McNeile"
5958,"The Relief of Mafeking","Filson Young"
5959,"The History of 'Punch'","M. H. Spielmann"
5960,"The Fifth Ace","Douglas Grant"
5961,"Strange Stories from History for Young People","George Cary Eggleston"
5962,"Carried Off","Esme Stuart"
5963,"The Melting-Pot","Israel Zangwill"
5964,"Billie Bradley at Three Towers Hall","Janet D. Wheeler"
5965,"Blue Bonnet in Boston","Caroline E. Jacobs"
5966,"Further Adventures of Lad","Albert Payson Terhune"
5967,"A Matter of Proportion","Anne Walker"
5968,"Kiddie the Scout","Robert Leighton"
5969,"St. Nicholas Magazine for Boys and Girls, V. 5, April 1878",Various
5970,"A Tame Surrender, A Story of The Chicago Strike","Charles King"
5971,Revolution,"Dallas McCord Reynolds"
5972,"His Dog","Albert Payson Terhune"
5973,"Country Walks of a Naturalist with His Children","W. Houghton"
5974,"Lalage's Lovers","George A. Birmingham"
5975,"Chicken Little Jane","Lily Munsell Ritchie"
5976,"Anti-Slavery Opinions before the Year 1800","William Frederick Poole"
5977,"The Romance of Words (4th ed.)","Ernest  Weekley"
5978,"Fair Italy, the Riviera and Monte Carlo","W. Cope Devereux"
5979,"Chambers's Edinburgh Journal, No. 457",Various
5980,"Story of My Life","Helen Keller"
5981,"The Book of Humorous Verse",Various
5982,"The Renaissance","Walter Pater"
5983,"Peter the Priest","M�r J�kai"
5984,"Cast Away in the Cold","Isaac I. Hayes"
5985,"Imaginary Portraits","Walter Pater"
5986,"A Missionary Twig","Emma L. Burnett"
5987,"Those Who Smiled","Perceval Gibbon"
5988,"There was a King in Egypt","Norma Lorimer"
5989,"The Land of the Kangaroo","Thomas Wallace Knox"
5990,"Jewel Weed","Alice Ames Winter"
5991,"The World's Greatest Books, Volume 19",Various
5992,"O Pioneers!","Willa Cather"
5993,"Stories From the Old Attic","Robert Harris"
5994,"The Physical Life of Woman:","Dr. George H Napheys"
5995,"Confessions of a Book-Lover","Maurice Francis Egan"
5996,"The Telegraph Boy","Horatio Alger, Jr."
5997,"In Blue Creek Canon","Anna Chapin Ray"
5998,"Photographic Reproduction Processes","P.C. Duchochois"
5999,Romola,"George Eliot"
6000,"A Christmas Carol","Charles Dickens"
6001,"History of the United States, Volume 6 (of 6)","E. Benjamin Andrews"
6002,"Dave Porter in the Gold Fields","Edward Stratemeyer"
6003,"John Eliot's First Indian Teacher and Interpreter Cockenoe-de-Long Island and The Story of His Career from the Early Records","William Wallace Tooker"
6004,"Dead Giveaway","Gordon Randall Garrett"
6005,"A History of the United States","Cecil Chesterton"
6006,"A History of Nursery Rhymes","Percy B. Green"
6007,"Heroes in Peace","John Haynes Holmes"
6008,"The Girls at Mount Morris","Amanda Minnie Douglas"
6009,"Special Messenger","Robert W. Chambers"
6010,Textiles,"William H. Dooley"
6011,Bonaventure,"George Washington Cable"
6012,"Earl Hubert's Daughter","Emily Sarah Holt"
6013,"Over the Rocky Mountains","R.M. Ballantyne"
6014,"The Root of Evil","Thomas Dixon"
6015,"En Route","J.-K. (Joris-Karl) Huysmans"
6016,Clotelle,"William Wells Brown"
6017,"Owen Clancy's Happy Trail","Burt L. Standish"
6018,"For the Master's Sake","Emily Sarah Holt"
6019,"The New World of Islam","Lothrop Stoddard"
6020,"Make Mine Homogenized","Rick Raphael"
6021,"The Hour and the Man","Harriet Martineau"
6022,"Down the Rhine","Oliver Optic"
6023,Tecumseh,"Ethel T. Raymond"
6024,"Waring's Peril","Charles King"
6025,"The Mutiny of the Elsinore","Jack London"
6026,"Customs and Fashions in Old New England","Alice Morse Earle"
6027,"The House of Pride","Jack London"
6028,"The Development of Embroidery in America","Candace Wheeler"
6029,"A Little Miss Nobody","Amy Bell Marlowe"
6030,"The Wedding Day",Unknown
6031,"Conversion of a High Priest into a Christian Worker","Meletios Golden"
6032,"Oldport Days","Thomas Wentworth Higginson"
6033,Lorraine,"Robert W. Chambers"
6034,"Rollo in London","Jacob Abbott"
6035,"The Strand Magazine, Volume V, Issue 30, June 1893",Various
6036,"Life Immovable","Kostes Palamas"
6037,"No Compromise with Slavery","William Lloyd  Garrison"
6038,"History of the 159th Regiment, N.Y.S.V.","Edward Duffy"
6039,"The Tinted Venus","F. Anstey"
6040,"A Spaceship Named McGuire","Gordon Randall Garrett"
6041,"Two Poems Against Pope","Leonard Welsted"
6042,"My Antonia","Willa Cather"
6043,"American Men of Mind","Burton E. Stevenson"
6044,"One Man's Initiation--1917","John Dos Passos"
6045,"Lippincott's Magazine of Popular Literature and Science, Vol. 12, No. 32, November, 1873",Various
6046,"Breakfast Dainties","Thomas J. Murrey"
6047,"Punch, or the London Charivari, May 6, 1914",Various
6048,"The Royal Guide to Wax Flower Modelling","Emma Peachey"
6049,"The Tyranny of the Dark","Hamlin Garland"
6050,"The Story of Eclipses","George Chambers"
6051,"Mary Ware's Promised Land","Annie Fellows Johnston"
6052,"Time and Tide","Robert S. (Robert Stawell) Ball"
6053,"Black Bartlemy's Treasure","Jeffrey Farnol"
6054,"A Girl of the Commune","George Alfred Henty"
6055,"Greener Than You Think","Ward Moore"
6056,"Gun for Hire","Dallas McCord Reynolds"
6057,"The Girl Scouts' Good Turn","Edith Lavell"
6058,"Left Behind","James Otis"
6059,"Four Young Explorers","Oliver Optic"
6060,Folkways,"William Graham Sumner"
6061,"History of the English People, Volume VI (of 8)","John Richard Green"
6062,"A Hundred Anecdotes of Animals","Percy J. Billinghurst"
6063,"The Desert Home","Mayne Reid"
6064,"Tom Gerrard","Louis Becke"
6065,"Children's Rhymes, Children's Games, Children's Songs, Children's Stories","Robert Ford"
6066,"The Creed of the Old South 1865-1915","Basil L. Gildersleeve"
6067,Attrition,"Jim Wannamaker"
6068,"Down The River","Oliver Optic"
6069,"Days Off","Henry Van Dyke"
6070,"The Man from the Bitter Roots","Caroline Lockhart"
6071,"Lost Face","Jack London"
6072,"The River of Darkness","William Murray Graydon"
6073,Nestlings,"Ella Fraser  Weller"
6074,"The Cryptogram","William Murray Graydon"
6075,"The Camp in the Snow","William Murray Graydon"
6076,"The Philadelphia Magazines and their Contributors 1741-1850","Albert Smyth"
6077,"American Lutheranism","Friedrich Bente"
6078,"The Twenty-fifth Regiment Connecticut Volunteers in the War of the Rebellion","George P. Bissell"
6079,"Is Shakespeare Dead?","Mark Twain"
6080,"The Preacher and His Models","James Stalker"
6081,"Mystics and Saints of Islam","Claud Field"
6082,"Roosevelt in the Bad Lands","Hermann Hagedorn"
6083,"Punch, or the London Charivari, May 13, 1914",Various
6084,"Tea Leaves",Various
6085,"Chatterbox, 1906",Various
6086,"The Basis of Early Christian Theism","Lawrence Thomas Cole"
6087,"St. Winifred's","Frederic W. Farrar"
6088,"The Life of Mrs. Robert Louis Stevenson","Nellie Van de Grift Sanchez"
6089,"Margaret Tudor","Annie T. Colcock"
6090,"Capitola's Peril","Mrs. E.D.E.N. Southworth"
6091,"The Common Sense of Socialism","John Spargo"
6092,"Reminiscences of a Rebel","Wayland Fuller Dunaway"
6093,"The Story of the Outlaw","Emerson Hough"
6094,"A Boy's Voyage Round the World","The Son of Samuel Smiles"
6095,"Land of the Burnt Thigh","Edith Eudora Kohl"
6096,"Historic Boyhoods","Rupert Sargent Holland"
6097,"Sixty years with Plymouth Church","Stephen M. Griswold"
6098,"Punch, or the London Charivari, Vol. 146, March 25, 1914",Various
6099,"The Return of Peter Grimm","David Belasco"
6100,"The Life of Napoleon Bonaparte","William Milligan Sloane"
6101,"Teddy: Her Book","Anna Chapin Ray"
6102,"The History of Tasmania, Volume I (of 2)","John West"
6103,"The Voyage of the Vega round Asia and Europe, Volume I and Volume II","A.E. Nordenskieold"
6104,"A Disquisition on the Evils of Using Tobacco","Orin Fowler"
6105,Mercenary,"Dallas McCord Reynolds"
6106,"The Romance of Names","Ernest Weekley"
6107,Wizard,"Laurence Mark Janifer (AKA Larry M. Harris)"
6108,"Floyd Grandon's Honor","Amanda Minnie Douglas"
6109,"Lights and Shadows in Confederate Prisons","Homer B. Sprague"
6110,"The Community Cook Book",Anonymous
6111,"The History of England from the Accession of James II.","Thomas Babington Macaulay"
6112,"Short Sketches from Oldest America","John Driggs"
6113,Gossamer,"George A. Birmingham"
6114,"A Study In Scarlet","Arthur Conan Doyle"
6115,"The Adventures of the Chevalier De La Salle and His Companions, in Their Explorations of the Prairies, Forests, Lakes, and Rivers, of the New World, and Their Interviews with the Savage Tribes, Two Hu","John S. C. Abbott"
6116,"Catalogue of Economic Plants in the Collection of the U. S. Department of Agriculture","William Saunders"
6117,"Poems: New and Old","Henry Newbolt"
6118,"Our Common Insects","Alpheus Spring  Packard"
6119,"The Burgess Animal Book for Children","Thornton W. Burgess"
6120,"Life and Work in Benares and Kumaon, 1839-1877","James Kennedy"
6121,"The Forest King","Hervey Keyes"
6122,"Fifty years with the Revere Copper Co.","S. T. Snow"
6123,"Princess Zara","Ross Beeckman"
6124,"Our Fathers Have Told Us","John Ruskin"
6125,"The Story of the Mormons","William Alexander Linn"
6126,"The Wit and Humor of America, Volume VIII (of X)",Various
6127,"The Wit and Humor of America, Volume X (of X)",Various
6128,"Four Americans","Henry A. Beers"
6129,"Anything You Can Do ...","Gordon Randall Garrett"
6130,"The Last Penny and Other Stories","T. S. Arthur"
6131,"From Fort Henry to Corinth","Manning Ferguson Force"
6132,"Report on the Department of Ports and Harbours for the Year 1890-1891","Department of Ports and Harbours"
6133,"Out Like a Light","Gordon Randall Garrett"
6134,"John Corwell, Sailor And Miner; and, Poisonous Fish","Louis Becke"
6135,Bones,"Edgar Wallace"
6136,"The Blue Wall","Richard Washburn Child"
6137,Nights,"Elizabeth Robins Pennell"
6138,"Punch, or the London Charivari, Vol. 146, June 17, 1914",Various
6139,"Across the Spanish Main","Harry Collingwood"
6140,"Fathers of Biology","Charles McRae"
6141,"France and England in North America, Part VII: A Half-Century of Conflict, Vol 1","Francis Parkman"
6142,"Still Jim","Honore Willsie Morrow"
6143,"The Supplies for the Confederate Army","Caleb Huse"
6144,"Eminent Victorians","Lytton Strachey"
6145,"Tobacco; Its History, Varieties, Culture, Manufacture and Commerce","E. R. Billings"
6146,"The Heroic Women of Early Indiana Methodism: An Address Delivered Before the Indiana Methodist Historical Society","Thomas Aiken Goodwin"
6147,"The Journal of Negro History, Volume 7, 1922",Various
6148,"The Common Law","Oliver Wendell Holmes, Jr."
6149,"The Continental Monthly, Vol. 6, No. 6, December 1864",Various
6150,"The Spirit of Lafayette","James Mott  Hallowell"
6151,"The Golden Judge","Nathaniel Gordon"
6152,"Memoirs of the Life of Sir Walter Scott, Volume I (of 10)","John Gibson Lockhart"
6153,"Memoirs of the Life of Sir Walter Scott, Volume V (of 10)","John Gibson Lockhart"
6154,"The Green Carnation","Robert Smythe Hichens"
6155,"Life On The Mississippi, Complete","Mark Twain (Samuel Clemens)"
6156,"The Boy Slaves","Mayne Reid"
6157,"The Greville Memoirs (Second Part)","Charles C. F. Greville"
6158,"The Forest of Dean","H. G. Nicholls"
6159,"Essays on early ornithology and kindred subjects","James R. McClymont"
6160,"The Crystal Hunters","George Manville Fenn"
6161,"Memoirs of Extraordinary Popular Delusions and the Madness of Crowds","Charles Mackay"
6162,"The Story of Rouen","Sir Theodore Andrea Cook"
6163,Shavings,"Joseph C. Lincoln"
6164,"Harbor Tales Down North","Norman Duncan"
6165,"The Black Phantom","Leo Edward Miller"
6166,"Fragments of science, V. 1-2","John Tyndall"
6167,Beyond,"John Galsworthy"
6168,"The Continental Monthly, Vol. 2 No 4, October, 1862",Various
6169,"Journeys Through Bookland, Vol. 8","Charles H. Sylvester"
6170,"The Autobiography of St. Ignatius","Saint Ignatius Loyola"
6171,"The Path to Honour","Sydney C. Grier"
6172,"History of the Confederate Powder Works","Geo. W. Rains"
6173,1914,"John French, Viscount of Ypres"
6174,"Kinston, Whitehall and Goldsboro (North Carolina) expedition, December, 1862","W. W. Howe"
6175,"The Silent Bullet","Arthur B. Reeve"
6176,"Country Neighbors","Alice Brown"
6177,"Between the Lines","Henry Bascom Smith"
6178,"Fifty Salads","Thomas Jefferson Murrey"
6179,"In the Wilds of Florida","W.H.G. Kingston"
6180,"The Rise of Canada, from Barbarism to Wealth and Civilisation","Charles Roger"
6181,"Northern Nut Growers Association, Report of the Proceedings at the Fourth Annual Meeting",Various
6182,"Down South","Oliver Optic"
6183,"The Boat Club","Oliver Optic"
6184,"Northern Nut Growers Association Report of the Proceedings at the Fifth Annual Meeting",Various
6185,"A Report of the Debates and Proceedings in the Secret Sessions of the Conference Convention","Lucius Eugene Chittenden"
6186,"The Panjab, North-West Frontier Province, and Kashmir","Sir James McCrone Douie"
6187,"The Best of the World's Classics, Restricted to Prose, Vol. VII (of X)--Continental Europe I",Various
6188,"A Manual of the Operations of Surgery","Joseph Bell"
6189,"Two Gallant Sons of Devon","Harry Collingwood"
6190,"Stories By English Authors: Italy",Various
6191,"Loss and Gain","John Henry Newman"
6192,"The Hindered Hand","Sutton E. Griggs"
6193,"Mary Louise Solves a Mystery","L. Frank Baum"
6194,Woodcraft,"George W. Sears"
6195,"Sermons on the Card and Other Discourses","Hugh Latimer"
6196,Ship-Bored,"Julian Street"
6197,"Colonel John Brown, of Pittsfield, Massachusetts, the Brave Accuser of Benedict Arnold","Archibald Murray Howe"
6198,"The Story of Cole Younger, by Himself","Cole Younger"
6199,"The Story of My Life","Egerton Ryerson"
6200,"The Lowest Rung","Mary Cholmondeley"
6201,"Trent's Trust and Other Stories","Bret Harte"
6202,"Cobb's Bill-of-Fare","Irvin Shrewsbury Cobb"
6203,"History of the Thirty-Ninth Congress of the United States","Wiliam H. Barnes"
6204,"Games For All Occasions","Mary E. Blain"
6205,"A Modern History, From the Time of Luther to the Fall of Napoleon","John Lord"
6206,"The Madonna of the Future","Henry James"
6207,"Through Veld and Forest","Harry Collingwood"
6208,"Ren�e Mauperin","Edmond de Goncourt and Jules de Goncourt"
6209,"History of the Nineteenth Army Corps","Richard Biddle Irwin"
6210,"The Monitor and the Merrimac","J. L. Worden et al."
6211,"The Negro and the Nation","George S. Merriam"
6212,"The Science of Fairy Tales","Edwin Sidney Hartland"
6213,"A Middy of the King","Harry Collingwood"
6214,"Bell's Cathedrals: Southwark Cathedral","George Worley"
6215,"Dona Perfecta","B. Perez Galdos"
6216,"The American Family Robinson","D. W. Belisle"
6217,"The Red Romance Book",Various
6218,"A Journey to America in 1834","Robert Heywood"
6219,"Booker T. Washington","Emmett J. Scott and Lyman Beecher Stowe"
6220,"Northern Nut Growers Association Report of the Proceedings at the Eleventh Annual Meeting",Various
6221,"Freaks of Fortune","Oliver Optic"
6222,Exeter,"Sidney Heath"
6223,"Bromide Printing and Enlarging","John A. Tennant"
6224,"The Colonial Mortuary Bard; ''Reo,' The Fisherman; and The Black Bream Of Australia","Louis Becke"
6225,"History Of Florence And Of The Affairs Of Italy","Niccolo Machiavelli"
6226,"The Standard Operaglass","Charles Annesley"
6227,"Diversions in Sicily","H. Festing Jones"
6228,"Ontario Teachers' Manuals: Household Management","Ministry of Education"
6229,"The Loyalists of America and Their Times, Vol. 2 of 2","Edgerton Ryerson"
6230,"Hortense, Makers of History Series","John S. C. Abbott"
6231,"The Grateful Indian","W.H.G. Kingston"
6232,"The Rich Little Poor Boy","Eleanor Gates"
6233,"Fairy Fingers","Anna Cora Mowatt Ritchie"
6234,"A Soldier's Life","Edwin G. Rundle"
6235,"The Voyages of the Ranger and Crusader","W.H.G. Kingston"
6236,"Aether and Gravitation","William George Hooper"
